OMRÅDE;ALDER;TID;INDHOLD
Hele landet;I alt;2020K4;5837213
Region Hovedstaden;I alt;2020K4;1854296
København;I alt;2020K4;637936
Frederiksberg;I alt;2020K4;104351
Dragør;I alt;2020K4;14497
Tårnby;I alt;2020K4;42757
Albertslund;I alt;2020K4;27500
Ballerup;I alt;2020K4;48978
Brøndby;I alt;2020K4;35215
Gentofte;I alt;2020K4;74623
Gladsaxe;I alt;2020K4;69203
Glostrup;I alt;2020K4;23342
Herlev;I alt;2020K4;28914
Hvidovre;I alt;2020K4;53448
Høje-Taastrup;I alt;2020K4;51238
Ishøj;I alt;2020K4;23059
Lyngby-Taarbæk;I alt;2020K4;56624
Rødovre;I alt;2020K4;41025
Vallensbæk;I alt;2020K4;16483
Allerød;I alt;2020K4;25871
Egedal;I alt;2020K4;43471
Fredensborg;I alt;2020K4;40980
Frederikssund;I alt;2020K4;45489
Furesø;I alt;2020K4;40955
Gribskov;I alt;2020K4;41110
Halsnæs;I alt;2020K4;31518
Helsingør;I alt;2020K4;63047
Hillerød;I alt;2020K4;51261
Hørsholm;I alt;2020K4;24919
Rudersdal;I alt;2020K4;56873
Bornholm;I alt;2020K4;39519
Christiansø;I alt;2020K4;90
Region Sjælland;I alt;2020K4;838129
Greve;I alt;2020K4;50561
Køge;I alt;2020K4;61323
Lejre;I alt;2020K4;28133
Roskilde;I alt;2020K4;88758
Solrød;I alt;2020K4;23394
Faxe;I alt;2020K4;36605
Guldborgsund;I alt;2020K4;60309
Holbæk;I alt;2020K4;71812
Kalundborg;I alt;2020K4;48415
Lolland;I alt;2020K4;40618
Næstved;I alt;2020K4;83049
Odsherred;I alt;2020K4;32857
Ringsted;I alt;2020K4;34872
Slagelse;I alt;2020K4;79106
Sorø;I alt;2020K4;29977
Stevns;I alt;2020K4;22975
Vordingborg;I alt;2020K4;45365
Region Syddanmark;I alt;2020K4;1223183
Assens;I alt;2020K4;40791
Faaborg-Midtfyn;I alt;2020K4;51562
Kerteminde;I alt;2020K4;23833
Langeland;I alt;2020K4;12350
Middelfart;I alt;2020K4;39026
Nordfyns;I alt;2020K4;29586
Nyborg;I alt;2020K4;31918
Odense;I alt;2020K4;205881
Svendborg;I alt;2020K4;58355
Ærø;I alt;2020K4;5958
Billund;I alt;2020K4;26529
Esbjerg;I alt;2020K4;115498
Fanø;I alt;2020K4;3449
Fredericia;I alt;2020K4;51281
Haderslev;I alt;2020K4;55446
Kolding;I alt;2020K4;93092
Sønderborg;I alt;2020K4;73888
Tønder;I alt;2020K4;37122
Varde;I alt;2020K4;49671
Vejen;I alt;2020K4;42767
Vejle;I alt;2020K4;116665
Aabenraa;I alt;2020K4;58515
Region Midtjylland;I alt;2020K4;1330866
Favrskov;I alt;2020K4;48294
Hedensted;I alt;2020K4;46690
Horsens;I alt;2020K4;91764
Norddjurs;I alt;2020K4;36906
Odder;I alt;2020K4;22917
Randers;I alt;2020K4;98026
Samsø;I alt;2020K4;3666
Silkeborg;I alt;2020K4;94892
Skanderborg;I alt;2020K4;63144
Syddjurs;I alt;2020K4;43231
Aarhus;I alt;2020K4;353445
Herning;I alt;2020K4;89240
Holstebro;I alt;2020K4;58617
Ikast-Brande;I alt;2020K4;41376
Lemvig;I alt;2020K4;19594
Ringkøbing-Skjern;I alt;2020K4;56157
Skive;I alt;2020K4;45499
Struer;I alt;2020K4;20869
Viborg;I alt;2020K4;96539
Region Nordjylland;I alt;2020K4;590739
Brønderslev;I alt;2020K4;36183
Frederikshavn;I alt;2020K4;59187
Hjørring;I alt;2020K4;64213
Jammerbugt;I alt;2020K4;38288
Læsø;I alt;2020K4;1767
Mariagerfjord;I alt;2020K4;41543
Morsø;I alt;2020K4;20135
Rebild;I alt;2020K4;30438
Thisted;I alt;2020K4;43217
Vesthimmerlands;I alt;2020K4;36458
Aalborg;I alt;2020K4;219310
